native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.073,0.01,7.198,0.088,0.011,0.071,0.006,1.21,1.11,PASS,rope_llama3_s1,16,0,base
0.009,0.006,1.404,0.011,0.007,0.008,0.006,1.28,1.03,PASS,rope_llama3_s1,16,0,new
0.009,0.006,1.395,0.01,0.007,0.008,0.006,1.08,1.08,PASS,rope_llama3_s1,16,1,new
0.073,0.01,7.126,0.076,0.013,0.072,0.006,1.04,1.28,PASS,rope_llama3_s1,16,1,base
0.075,0.01,7.373,0.09,0.011,0.072,0.006,1.2,1.06,PASS,rope_llama3_s1,16,2,base
0.009,0.006,1.395,0.009,0.006,0.008,0.006,1.09,1.04,PASS,rope_llama3_s1,16,2,new
0.009,0.006,1.375,0.012,0.007,0.008,0.006,1.35,1.06,PASS,rope_llama3_s1,16,3,new
0.071,0.007,9.803,0.089,0.008,0.069,0.004,1.25,1.14,PASS,rope_llama3_s1,16,3,base
0.073,0.01,7.218,0.089,0.013,0.072,0.006,1.23,1.3,PASS,rope_llama3_s1,16,4,base
0.006,0.004,1.38,0.007,0.005,0.006,0.004,1.13,1.08,PASS,rope_llama3_s1,16,4,new
0.082,0.013,6.528,0.155,0.014,0.078,0.01,1.88,1.11,PASS,rope_llama3_b8_s1,1,0,base
0.013,0.011,1.224,0.015,0.012,0.013,0.01,1.16,1.14,PASS,rope_llama3_b8_s1,1,0,new
0.013,0.01,1.345,0.015,0.011,0.013,0.009,1.1,1.07,PASS,rope_llama3_b8_s1,1,1,new
0.081,0.013,6.329,0.083,0.014,0.081,0.01,1.03,1.07,PASS,rope_llama3_b8_s1,1,1,base
0.082,0.012,6.535,0.097,0.014,0.077,0.01,1.19,1.08,PASS,rope_llama3_b8_s1,1,2,base
0.013,0.011,1.242,0.014,0.011,0.013,0.01,1.07,1.05,PASS,rope_llama3_b8_s1,1,2,new
0.014,0.012,1.219,0.023,0.034,0.013,0.01,1.6,2.95,PASS,rope_llama3_b8_s1,1,3,new
0.077,0.013,6.073,0.104,0.013,0.076,0.01,1.35,1.06,PASS,rope_llama3_b8_s1,1,3,base
0.081,0.013,6.494,0.082,0.013,0.08,0.01,1.01,1.05,PASS,rope_llama3_b8_s1,1,4,base
0.013,0.01,1.24,0.014,0.011,0.012,0.01,1.04,1.02,PASS,rope_llama3_b8_s1,1,4,new
0.093,0.016,5.738,0.101,0.035,0.092,0.013,1.09,2.18,PASS,rope_llama3_b8_s1,8,0,base
0.015,0.012,1.231,0.016,0.013,0.012,0.011,1.03,1.07,PASS,rope_llama3_b8_s1,8,0,new
0.014,0.011,1.348,0.015,0.012,0.013,0.009,1.08,1.12,PASS,rope_llama3_b8_s1,8,1,new
0.079,0.013,6.044,0.101,0.015,0.077,0.011,1.27,1.13,PASS,rope_llama3_b8_s1,8,1,base
0.083,0.013,6.32,0.084,0.014,0.081,0.011,1.01,1.05,PASS,rope_llama3_b8_s1,8,2,base
0.018,0.012,1.518,0.022,0.016,0.013,0.011,1.24,1.35,PASS,rope_llama3_b8_s1,8,2,new
0.014,0.011,1.326,0.016,0.013,0.013,0.01,1.1,1.21,PASS,rope_llama3_b8_s1,8,3,new
0.096,0.016,6.108,0.123,0.019,0.093,0.012,1.29,1.21,PASS,rope_llama3_b8_s1,8,3,base
0.082,0.012,6.721,0.102,0.016,0.081,0.01,1.25,1.29,PASS,rope_llama3_b8_s1,8,4,base
0.023,0.013,1.726,0.024,0.015,0.02,0.013,1.04,1.13,PASS,rope_llama3_b8_s1,8,4,new
0.09,0.023,3.965,0.094,0.059,0.088,0.019,1.04,2.58,PASS,rope_llama3_b8_s1,16,0,base
0.023,0.019,1.227,0.041,0.021,0.021,0.016,1.73,1.12,PASS,rope_llama3_b8_s1,16,0,new
0.023,0.019,1.217,0.046,0.02,0.02,0.016,2.02,1.05,PASS,rope_llama3_b8_s1,16,1,new
0.079,0.018,4.323,0.112,0.022,0.078,0.016,1.41,1.21,PASS,rope_llama3_b8_s1,16,1,base
0.093,0.021,4.462,0.095,0.041,0.089,0.017,1.03,1.98,PASS,rope_llama3_b8_s1,16,2,base
0.023,0.019,1.252,0.025,0.021,0.021,0.015,1.08,1.11,PASS,rope_llama3_b8_s1,16,2,new
0.024,0.019,1.27,0.042,0.022,0.02,0.016,1.77,1.15,PASS,rope_llama3_b8_s1,16,3,new
0.095,0.021,4.592,0.11,0.025,0.092,0.017,1.16,1.21,PASS,rope_llama3_b8_s1,16,3,base
0.082,0.02,4.181,0.102,0.022,0.081,0.015,1.24,1.1,PASS,rope_llama3_b8_s1,16,4,base
