native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
1.595,0.859,1.858,3.156,1.004,1.56,0.792,1.98,1.17,PASS,kvcat_llama3_p2047,1,2,base
0.721,0.797,0.905,2.304,0.939,0.695,0.729,3.19,1.18,PASS,kvcat_llama3_p2047,1,2,new
0.848,0.818,1.036,2.437,0.994,0.826,0.783,2.87,1.21,PASS,kvcat_llama3_p2047,1,3,new
1.726,0.937,1.842,3.196,0.978,1.693,0.689,1.85,1.04,PASS,kvcat_llama3_p2047,1,3,base
1.603,0.881,1.819,3.22,1.038,1.529,0.813,2.01,1.18,PASS,kvcat_llama3_p2047,1,4,base
0.746,0.763,0.978,2.399,0.969,0.709,0.716,3.21,1.27,PASS,kvcat_llama3_p2047,1,4,new
1.678,0.303,5.547,3.339,0.389,1.621,0.207,1.99,1.29,PASS,kvcat_llama3_p2047,8,0,base
0.728,0.199,3.649,2.661,0.346,0.699,0.176,3.66,1.74,PASS,kvcat_llama3_p2047,8,0,new
0.814,0.247,3.295,3.843,0.409,0.762,0.186,4.72,1.65,PASS,kvcat_llama3_p2047,8,1,new
1.679,0.356,4.721,3.173,0.412,1.586,0.24,1.89,1.16,PASS,kvcat_llama3_p2047,8,1,base
1.705,0.314,5.423,3.286,0.395,1.587,0.275,1.93,1.26,PASS,kvcat_llama3_p2047,8,2,base
0.808,0.202,4.003,2.807,0.333,0.777,0.174,3.47,1.65,PASS,kvcat_llama3_p2047,8,2,new
0.741,0.257,2.885,2.252,0.366,0.703,0.199,3.04,1.43,PASS,kvcat_llama3_p2047,8,3,new
1.986,0.512,3.875,4.183,0.556,1.747,0.376,2.11,1.08,PASS,kvcat_llama3_p2047,8,3,base
1.785,0.316,5.642,3.202,0.352,1.549,0.159,1.79,1.11,PASS,kvcat_llama3_p2047,8,4,base
0.874,0.304,2.879,2.437,0.339,0.732,0.27,2.79,1.12,PASS,kvcat_llama3_p2047,8,4,new
1.947,0.289,6.745,3.776,0.374,1.747,0.221,1.94,1.3,PASS,kvcat_llama3_p2047,16,0,base
0.801,0.172,4.664,2.679,0.253,0.775,0.139,3.34,1.48,PASS,kvcat_llama3_p2047,16,0,new
0.823,0.207,3.984,2.776,0.306,0.779,0.155,3.37,1.48,PASS,kvcat_llama3_p2047,16,1,new
1.873,0.247,7.571,3.988,0.38,1.724,0.198,2.13,1.54,PASS,kvcat_llama3_p2047,16,1,base
1.872,0.251,7.459,3.806,0.3,1.644,0.168,2.03,1.2,PASS,kvcat_llama3_p2047,16,2,base
0.801,0.156,5.133,2.216,0.238,0.753,0.124,2.77,1.53,PASS,kvcat_llama3_p2047,16,2,new
0.831,0.198,4.202,2.176,0.268,0.722,0.127,2.62,1.36,PASS,kvcat_llama3_p2047,16,3,new
1.943,0.287,6.774,3.818,0.302,1.768,0.196,1.96,1.05,PASS,kvcat_llama3_p2047,16,3,base
2.614,0.266,9.834,4.375,0.311,2.225,0.208,1.67,1.17,PASS,kvcat_llama3_p2047,16,4,base
0.731,0.181,4.042,2.295,0.27,0.714,0.126,3.14,1.49,PASS,kvcat_llama3_p2047,16,4,new
5.366,1.902,2.821,6.918,2.055,3.721,1.769,1.29,1.08,PASS,kvcat_llama3_p4095,1,0,base
3.509,1.828,1.92,4.126,2.101,1.73,1.661,1.18,1.15,PASS,kvcat_llama3_p4095,1,0,new
3.296,1.852,1.78,3.997,1.942,1.81,1.644,1.21,1.05,PASS,kvcat_llama3_p4095,1,1,new
5.353,1.951,2.744,5.991,2.048,3.779,1.813,1.12,1.05,PASS,kvcat_llama3_p4095,1,1,base
5.285,1.893,2.793,6.808,1.955,3.737,1.812,1.29,1.03,PASS,kvcat_llama3_p4095,1,2,base
3.277,1.794,1.827,4.001,1.97,1.746,1.676,1.22,1.1,PASS,kvcat_llama3_p4095,1,2,new
4.042,1.864,2.168,4.686,2.001,1.783,1.654,1.16,1.07,PASS,kvcat_llama3_p4095,1,3,new
5.86,2.009,2.917,6.134,2.032,4.118,1.887,1.05,1.01,PASS,kvcat_llama3_p4095,1,3,base
5.428,1.894,2.866,5.932,1.991,3.816,1.545,1.09,1.05,PASS,kvcat_llama3_p4095,1,4,base
3.434,1.821,1.885,4.043,1.97,1.673,1.692,1.18,1.08,PASS,kvcat_llama3_p4095,1,4,new
3.503,0.749,4.675,3.919,0.78,3.164,0.537,1.12,1.04,PASS,kvcat_llama3_p4095,8,0,base
3.268,0.692,4.724,4.0,0.729,1.663,0.474,1.22,1.05,PASS,kvcat_llama3_p4095,8,0,new
3.317,0.783,4.236,3.991,0.827,1.69,0.583,1.2,1.06,PASS,kvcat_llama3_p4095,8,1,new
5.856,0.753,7.783,6.789,0.975,3.452,0.592,1.16,1.3,PASS,kvcat_llama3_p4095,8,1,base
5.404,0.789,6.846,6.515,0.834,3.671,0.657,1.21,1.06,PASS,kvcat_llama3_p4095,8,2,base
3.452,0.815,4.238,5.019,0.866,1.882,0.552,1.45,1.06,PASS,kvcat_llama3_p4095,8,2,new
1.847,0.743,2.486,3.939,0.911,1.678,0.555,2.13,1.23,PASS,kvcat_llama3_p4095,8,3,new
5.767,0.784,7.352,6.863,0.838,3.462,0.596,1.19,1.07,PASS,kvcat_llama3_p4095,8,3,base
5.563,0.786,7.08,6.4,0.896,3.827,0.67,1.15,1.14,PASS,kvcat_llama3_p4095,8,4,base
1.67,0.671,2.488,1.934,0.74,1.59,0.544,1.16,1.1,PASS,kvcat_llama3_p4095,8,4,new
3.875,0.74,5.234,6.818,0.84,3.294,0.621,1.76,1.13,PASS,kvcat_llama3_p4095,16,0,base
1.939,0.699,2.775,4.608,0.774,1.709,0.496,2.38,1.11,PASS,kvcat_llama3_p4095,16,0,new
3.783,0.73,5.181,4.605,0.863,1.918,0.495,1.22,1.18,PASS,kvcat_llama3_p4095,16,1,new
3.724,0.706,5.274,6.439,0.752,3.222,0.546,1.73,1.07,PASS,kvcat_llama3_p4095,16,1,base
5.881,0.76,7.737,6.861,0.79,3.993,0.543,1.17,1.04,PASS,kvcat_llama3_p4095,16,2,base
