native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.008,0.006,1.331,0.008,0.007,0.008,0.006,1.03,1.07,PASS,rope_gptj_il_s1,16,1,hot
0.008,0.006,1.293,0.009,0.007,0.008,0.006,1.05,1.05,PASS,rope_gptj_il_s1,16,1,base
0.008,0.006,1.297,0.01,0.006,0.008,0.006,1.19,1.03,PASS,rope_gptj_il_s1,16,2,base
0.008,0.006,1.321,0.009,0.007,0.008,0.006,1.07,1.07,PASS,rope_gptj_il_s1,16,2,hot
0.008,0.006,1.332,0.009,0.006,0.008,0.006,1.07,1.05,PASS,rope_gptj_il_s1,16,3,hot
0.008,0.006,1.352,0.009,0.007,0.008,0.006,1.05,1.06,PASS,rope_gptj_il_s1,16,3,base
0.008,0.006,1.296,0.008,0.007,0.008,0.006,1.03,1.04,PASS,rope_gptj_il_s1,16,4,base
0.008,0.006,1.32,0.008,0.007,0.008,0.006,1.03,1.12,PASS,rope_gptj_il_s1,16,4,hot
0.098,0.113,0.872,0.123,0.123,0.096,0.11,1.25,1.09,PASS,rope_gptj_il_s128,1,0,base
0.097,0.112,0.869,0.105,0.14,0.095,0.109,1.08,1.26,PASS,rope_gptj_il_s128,1,0,hot
0.097,0.111,0.876,0.103,0.121,0.095,0.109,1.06,1.09,PASS,rope_gptj_il_s128,1,1,hot
0.097,0.111,0.875,0.108,0.123,0.095,0.109,1.12,1.11,PASS,rope_gptj_il_s128,1,1,base
0.097,0.111,0.874,0.105,0.121,0.096,0.109,1.08,1.09,PASS,rope_gptj_il_s128,1,2,base
0.098,0.112,0.875,0.105,0.134,0.096,0.11,1.07,1.2,PASS,rope_gptj_il_s128,1,2,hot
0.097,0.112,0.873,0.111,0.123,0.095,0.109,1.13,1.1,PASS,rope_gptj_il_s128,1,3,hot
0.102,0.113,0.9,0.114,0.125,0.1,0.111,1.12,1.11,PASS,rope_gptj_il_s128,1,3,base
0.097,0.115,0.844,0.124,0.123,0.095,0.113,1.28,1.07,PASS,rope_gptj_il_s128,1,4,base
0.096,0.111,0.864,0.107,0.127,0.094,0.109,1.11,1.14,PASS,rope_gptj_il_s128,1,4,hot
0.127,0.035,3.647,0.179,0.04,0.075,0.027,1.41,1.15,PASS,rope_gptj_il_s128,8,0,base
0.043,0.034,1.282,0.055,0.039,0.039,0.027,1.27,1.16,PASS,rope_gptj_il_s128,8,0,hot
0.361,0.032,11.123,0.418,0.034,0.202,0.031,1.16,1.05,PASS,rope_gptj_il_s128,8,1,hot
